"Site","Month","Year","Region","season","out","hours","total","Prop"
"tnon","November",2018,"tolomato","fall",670,167.5,2878,0.232800555941626
"tnon","October",2018,"tolomato","fall",875,218.75,2731,0.320395459538631
"tnon3","April",2020,"tolomato","spring",12,3,251,0.047808764940239
"tnon3","August",2019,"tolomato","summer",452,113,2976,0.151881720430108
"tnon3","December",2019,"tolomato","winter",585,146.25,2976,0.196572580645161
"tnon3","February",2020,"tolomato","winter",628,157,2784,0.225574712643678
"tnon3","January",2020,"tolomato","winter",659,164.75,2976,0.221438172043011
"tnon3","July",2019,"tolomato","summer",656,164,2976,0.220430107526882
"tnon3","June",2019,"tolomato","summer",729,182.25,2880,0.253125
"tnon3","March",2020,"tolomato","spring",668,167,2976,0.224462365591398
"tnon3","May",2019,"tolomato","spring",536,134,2169,0.247118487782388
"tnon3","November",2019,"tolomato","fall",241,60.25,2878,0.0837387074357192
"tnon3","October",2019,"tolomato","fall",304,76,2976,0.102150537634409
"tnon3","September",2019,"tolomato","fall",181,45.25,2880,0.0628472222222222
